ID,category,video_title_length,likes,views,post_date,channel_url,channel_name,video_url,Viral
283,Reaction Videos,34,3176154,23081871,17-Jul-24,https://www.youtube.com/@CarryMinati,CarryMinati,https://www.youtube.com/watch?v=WX7DBPcsiEs,0
284,Reaction Videos,70,1079,7573,19-Jul-24,https://www.youtube.com/@RobSquadReactions,Rob Squad Reactions,https://www.youtube.com/watch?v=Zp6P1fZVgk8,1
285,Reaction Videos,86,6915,65137,11-Jul-24,https://www.youtube.com/@RobSquadReactions,Rob Squad Reactions,https://www.youtube.com/watch?v=AfaAAsEftdo,1
286,Reaction Videos,79,983,17724,19-Jul-24,https://www.youtube.com/@CineDesi,CineDesi,https://www.youtube.com/watch?v=VRNujlnl398,1
287,Reaction Videos,46,4628,50462,3-Jul-24,https://www.youtube.com/@BlindWave,Blind Wave,https://www.youtube.com/watch?v=jhFSabG-2w4,1
288,Reaction Videos,39,19016,126946,18-Jul-24,https://www.youtube.com/@DTParker,DT Parker,https://www.youtube.com/watch?v=RGg4_cpQRQc,1
289,Reaction Videos,60,1783,17391,12-Jul-24,https://www.youtube.com/@TheCoupleCrib,The Couple Crib,https://www.youtube.com/watch?v=vuTJ7LUKpdo,0
290,Reaction Videos,57,43557,1673627,19-Apr-23,https://www.youtube.com/@TrickyGuess,Tricky Guess,https://www.youtube.com/watch?v=OyUD9-aRzN8,1
291,Reaction Videos,48,69940,1142348,16-Jul-24,https://www.youtube.com/@TheCommentsSection,The Comments Section with Brett Cooper,https://www.youtube.com/watch?v=K8ui0ClhZWg,1
292,Reaction Videos,85,1519,14300,Premiered on 14 Jul 2024,https://www.youtube.com/@BisscuteReacts,Bisscute,https://www.youtube.com/watch?v=W3I-WE7zMQg,0
293,Reaction Videos,37,3729,37536,15-Jul-24,https://www.youtube.com/@mrlboydmusic,MRLBOYD MUSIC,https://www.youtube.com/watch?v=eyF_EnhCE9o,1
294,Reaction Videos,78,22211,300304,Premiered on 14 Jul 2024,https://www.youtube.com/@BlackPegasusRaps,Black Pegasus,https://www.youtube.com/watch?v=xdYAHQeidUI,1
295,Not Discovered,78,1366,0,2025-07-16,https://youtu.be/STEcpxtKPSI?si=ME9m-M0wj186ejR1,Unknown Channel,https://youtu.be/STEcpxtKPSI?si=ME9m-M0wj186ejR1,1
